state,district,zhDistrict,districtNe,districtMm,districtBe,confirmed,ytdConfirmed,new,dateUpdate,activeCases,ytdActive,newActive,activeDateUpdate,fourteen,YTDfourteen,newFourteen
Putrajaya,Putrajaya,布城,पुत्रजया,ပူထရာဂျာယာ ,পুত্রাজায়া,407.0,407.0,0.0,2021-01-09,142.0,142.0,0.0,2021-01-09,287,284,3
Putrajaya,All,All,All,All,All,407.0,407.0,0.0,2021-01-09,142.0,142.0,0.0,2021-01-09,287,284,3
Melaka,Jasin,野新,जसिन,ဂျာဆင်း,Jasin,523.0,523.0,0.0,2021-01-08,,,,2020-11-06,358,371,-13
Melaka,Melaka Tengah,马六甲中央,मेलाका तेंगाह,Melaka Tengah,মেলাকা টেংগা,408.0,408.0,0.0,2021-01-09,,,,,1863,1874,-11
Melaka,Alor Gajah,亚罗牙也,अलोर गजाह,အာလောဂါဂျား ,Alor Gajah,561.0,561.0,0.0,2020-12-20,,,,2020-11-06,604,626,-22
Melaka,All,All,All,All,All,1583.0,1583.0,0.0,2021-01-09,379.0,379.0,0.0,2021-01-09,2825,2871,-46
N Sembilan,Seremban,芙蓉,सेरेम्बान,ဆရမ်ဘန်း ,রিামবান,,,0.0,2020-12-25,749.0,749.0,0.0,2020-12-27,6419,6116,303
N Sembilan,Rembau,林茂,रेम्बाउ ,Rembau,লেমবো,,,0.0,2020-12-24,18.0,18.0,0.0,2021-01-09,389,393,-4
N Sembilan,Tampin,淡边,तम्पिं,Tampin,টামপেইন,,,0.0,2020-12-24,17.0,17.0,0.0,2020-12-27,191,196,-5
N Sembilan,Port Dickson,波德申,पोर्ट दिच्क्सों,ပုပ်ဒစ်ဆန်,পোর্ট ডিকসন,,,0.0,2020-12-25,28.0,28.0,0.0,2021-01-09,953,931,22
N Sembilan,Jelebu,日叻务,जेलेबू ,ဂျလေဘူ,জেলেবু,,,0.0,2020-04-10,468.0,468.0,0.0,2021-01-08,143,150,-7
N Sembilan,Jempol,仁保,जेम्पोल,Jempol,জেমপুল,,,0.0,2020-08-06,13.0,13.0,0.0,2020-12-26,490,489,1
N Sembilan,Kuala Pilah,瓜拉庇劳,कुआला पिलाः,ကွာလာ ပီလာ,কোয়ালা পিলাহ,,,0.0,2020-05-30,2.0,2.0,0.0,2021-01-09,475,523,-48
N Sembilan,All,All,All,All,All,9007.0,9007.0,0.0,2021-01-09,1109.0,1109.0,0.0,2021-01-09,9060,8798,262
P Pinang,Seberang Perai Tengah,威中,सेबेरंग पराई  तेंगाह,ဆရမ်ဘန်း ပေရန်း တီဂါး ,সেবেরং পেরেই টেঙা,,,0.0,2021-01-09,,,0.0,2021-01-08,1083,1186,-103
P Pinang,Timur Laut,东北,तिमुर  ळाउत,Timur Laut,তৈমুর লাউট,,,0.0,2021-01-08,,,0.0,2021-01-08,514,506,8
P Pinang,Seberang Perai Selatan,威南,सेबेरंग  पराई  सेलातन,ဆရမ်ဘန်း ပေရန်း ဆလာတန်း ,সেবেরং পেরেই সেলাটান,,,0.0,2020-10-22,,,0.0,2021-01-09,185,188,-3
P Pinang,Barat Daya,西南,बरत  दया,ဘာရတ် ဒါရာ ,বারাত দায়া,,,0.0,2021-01-08,,,0.0,2021-01-08,190,185,5
P Pinang,Seberang Perai Utara,威北,सेबेरंग  पराई  उतार,ဆရမ်ဘန်း ပေရန်း အူထရာ ,সেবেরং পেরাই উতারা,,,0.0,2020-10-19,,,0.0,2021-01-09,326,361,-35
P Pinang,All,All,All,All,All,4945.0,4945.0,0.0,2021-01-08,935.0,935.0,0.0,2021-01-03,2298,2426,-128
Pahang,Jerantut,而连突,जेरंतुत,Jerantut,জেরানটুট,99.0,99.0,0.0,2021-01-07,2.0,2.0,0.0,2021-01-09,332,351,-19
Pahang,Kuantan,关丹,कुंतन,ကွမ်တန်း ,কোয়ানটান,319.0,319.0,0.0,2020-12-27,80.0,80.0,0.0,2021-01-09,1514,1409,105
Pahang,Pekan,北根,फेकन,Pekan,পেকান,52.0,52.0,0.0,2020-12-27,19.0,19.0,0.0,2020-12-27,62,60,2
Pahang,Bentong,文冬,बेन्तोंग,Bentong,বেনটং,937.0,937.0,0.0,2020-12-27,358.0,358.0,0.0,2020-12-27,285,267,18
Pahang,Temerloh,淡马鲁,तेमेर्लो,Temerloh,তেমারলুহ,48.0,48.0,0.0,2021-01-09,9.0,9.0,0.0,2021-01-09,228,258,-30
Pahang,Bera,百乐,बेरा,ဘေရာ,বেড়া,31.0,31.0,0.0,2020-12-27,8.0,8.0,0.0,2021-01-08,80,84,-4
Pahang,Lipis,立卑,लिपिस,လစ်ပစ်,লিপিস,17.0,17.0,0.0,2021-01-01,0.0,0.0,0.0,2021-01-09,35,31,4
Pahang,Maran,马兰,मारन,မာရန် ,মারান,58.0,58.0,0.0,2021-01-09,13.0,13.0,0.0,2020-12-26,79,82,-3
Pahang,Raub,劳勿,रूब,Raub,রাউব,22.0,22.0,0.0,2021-01-05,11.0,11.0,0.0,2021-01-09,13,15,-2
