enName,newCases,weight,YTDweight,myName,zhName,location,status,Deaths,index case,Other notes
Duranda Emas,0,63.0,63.0,Duranda Emas,Duranda Emas,Serian,active,,,
Anggerik Cempaka,0,24.0,24.0,Anggerik Cempaka,Anggerik Cempaka,Baling,active,,,
Taman Dato Senu,0,13.0,13.0,Taman Dato Senu,Taman Dato Senu,"Kepong, Titiwangsa",active,,,
Sungai Rian,0,63.0,63.0,Sungai Rian,Sungai Rian,Meradong,active,,,
Kampung Tengah Betong,0,24.0,24.0,Kampung Tengah Betong,Kampung Tengah Betong,Betong,active,,,
Jalan Pasir Mas - Pohon Tanjung,0,43.0,43.0,Jalan Pasir Mas - Pohon Tanjung,Jalan Pasir Mas - Pohon Tanjung,"Pasir Mas, Tanah Merah",active,,,
Jalan Padang Lallang,0,9.0,9.0,Jalan Padang Lallang,Jalan Padang Lallang,Seberang Perai Tengah,active,,,
Jalan Meranti,0,14.0,14.0,Jalan Meranti,Jalan Meranti,"Hulu Selangor, Gombak",,,,
Hala Kampung Jawa,0,134.0,134.0,Hala Kampung Jawa,Hala Kampung Jawa,"Timur Laut, Barat Daya, Seberang Perai Utara",active,,,
Tangok,0,38.0,38.0,Tangok,Tangok,"Bachok, Kota Bharu, Machang",active,,,
Sungai Selitut,0,19.0,19.0,Sungai Selitut,Sungai Selitut,"Bintulu, Tatau",active,,,
Sungai Passin,0,63.0,63.0,Sungai Passin,Sungai Passin,"Matu, Sibu",active,,,
Sungai Duan,0,314.0,314.0,Sungai Duan,Sungai Duan,Mukah,active,1.0,,
Pulai Chondong,0,348.0,348.0,Pulai Chondong,Pulai Chondong,"Machang, Bachok, Pasir Mas",active,1.0,,
Jalan Weng,0,38.0,38.0,Jalan Weng,Jalan Weng,Baling,active,,,
Jalan Tagasan,0,7.0,7.0,Jalan Tagasan,Jalan Tagasan,Semporna,active,,,
Jalan Sulah 16,0,69.0,69.0,Jalan Sulah 16,Jalan Sulah 16,Klang,active,,,
Jalan Medan Aliff,0,80.0,80.0,Jalan Medan Aliff,Jalan Medan Aliff,Johor Bahru,active,,,
Jalan Hospital,0,362.0,362.0,Jalan Hospital,Jalan Hospital,Pasir Mas,active,,,
Jalan Cahaya Baru,0,117.0,117.0,Jalan Cahaya Baru,Jalan Cahaya Baru,"Batu Pahat, Kepong",active,1.0,,
Jalan Bandar Universiti,0,15.0,15.0,Jalan Bandar Universiti,Jalan Bandar Universiti,"Perak Tengah, Manjung, Titiwangsa",,,,
Cyber Park,0,21.0,21.0,Cyber Park,Cyber Park,Kulai,active,,,
Bayan Cenderawasih,0,212.0,212.0,Bayan Cenderawasih,Bayan Cenderawasih,Kota Setar,active,2.0,,
Tarat Tani,0,51.0,51.0,Tarat Tani,Tarat Tani,Serian,active,,,
Tapak Bina Cahaya Alam,0,27.0,27.0,Tapak Bina Cahaya Alam,Tapak Bina Cahaya Alam,Petaling,active,,,
Selat Klang,0,35.0,35.0,Selat Klang,Selat Klang,"Klang, Petaling",active,,,
Jalan Perindustrian Satu,0,275.0,275.0,Jalan Perindustrian Satu,Jalan Perindustrian Satu,Muar,,,,
Jalan Bintulu Sibu,0,23.0,23.0,Jalan Bintulu Sibu,Jalan Bintulu Sibu,"Tatau, Bintulu",active,,,
Ulu Balingian,0,106.0,106.0,Ulu Balingian,Ulu Balingian,Selangau,active,,,
Seri Kuantan,0,44.0,44.0,Seri Kuantan,Seri Kuantan,"Kuantan, Cheras",active,,,
Jalan Wawasan Lima,0,14.0,14.0,Jalan Wawasan Lima,Jalan Wawasan Lima,Batu Pahat,active,,,
Jalan Maktab,0,18.0,18.0,Jalan Maktab,Jalan Maktab,"Sepang, Hulu Langat, Putrajaya",,,,
Jalan Disa,0,137.0,137.0,Jalan Disa,Jalan Disa,Sibu,active,,,
Jalan Ding Lik Kwong,0,33.0,33.0,Jalan Ding Lik Kwong,Jalan Ding Lik Kwong,Sibu,active,,,
Jalan Damai Tawau,0,24.0,24.0,Jalan Damai Tawau,Jalan Damai Tawau,Tawau,active,,,
Bukit Quoin,0,17.0,17.0,Bukit Quoin,Bukit Quoin,Tawau,active,,,
Sri Layang,0,73.0,73.0,Sri Layang,Sri Layang,Bentong,active,,,
Jepak,0,57.0,57.0,Jepak,Jepak,Bintulu,,,,
Jalan Sultan Iskandar,0,32.0,32.0,Jalan Sultan Iskandar,Jalan Sultan Iskandar,Bintulu,,,,
Jalan Kia Peng,0,59.0,59.0,Jalan Kia Peng,Jalan Kia Peng,"Lembah Pantai, Cheras, Kepong",active,,,
Jalan Balakong,0,19.0,19.0,Jalan Balakong,Jalan Balakong,Hulu Langat,,,,
DTI Sandakan,0,56.0,56.0,DTI Sandakan,DTI Sandakan,Sandakan,,,,
DTI Lenggeng,13,292.0,279.0,DTI Lenggeng,DTI Lenggeng,"Seremban, Port Dickson",active,1.0,,
Taman Rakyat,0,29.0,29.0,Taman Rakyat,Taman Rakyat,Dungun,active,,,
Perabot Olak Lempit,0,60.0,60.0,Perabot Olak Lempit,Perabot Olak Lempit,Kuala Langat,active,,,
Melangkap Tomis,0,20.0,20.0,Melangkap Tomis,Melangkap Tomis,"Kota Belud, Tuaran",active,,,
Lorong Megah Jaya,0,27.0,27.0,Lorong Megah Jaya,Lorong Megah Jaya,Sandakan,active,,,
Kok Lanas,0,295.0,295.0,Kok Lanas,Kok Lanas,"Kota Bahru, Tanah Merah, Tumpat",active,,,
Kampung Pokok Machang,0,26.0,26.0,Kampung Pokok Machang,Kampung Pokok Machang,"Baling, Kuala Muda dan Kulim",,,,
