enName,newCases,weight,YTDweight,myName,zhName,location,status,Deaths,index case,Other notes
Kampung Baru Pasir Putih,0,70.0,70.0,Kampung Baru Pasir Putih,Kampung Baru Pasir Putih,"Kalabakan, Tawau",,,,
Jalan Rasmi,0,63.0,63.0,Jalan Rasmi,Jalan Rasmi,"Gombak, Hulu Langat, Hulu Selangor, Klang, Petaling, Sepang, Cheras",,,,
Jalan Kingsway,0,93.0,93.0,Jalan Kingsway,Jalan Kingsway,Miri,,,,
Jalan Jelawat,0,464.0,464.0,Jalan Jelawat,Jalan Jelawat,"Timur Laut, Seberai Perai Utara, Seberang Perai Tengah, Seberang Perai Selatan, Kerian",active,,,
Jalan Hevea Scruciana,0,79.0,79.0,Jalan Hevea Scruciana,Jalan Hevea Scruciana,"Petaling, Klang",active,,,
Jalan Baji,0,102.0,102.0,Jalan Baji,Jalan Baji,Sarikei,active,,,
Emas Bemban,0,6.0,6.0,Emas Bemban,Emas Bemban,"Baling, Sik",,,,
Delima Baiduri,0,29.0,29.0,Delima Baiduri,Delima Baiduri,Kuala Muda,,,,
Bulatan Aman,0,214.0,214.0,Bulatan Aman,Bulatan Aman,Sibu,active,,,
Taman Vistagro,0,25.0,25.0,Taman Vistagro,Taman Vistagro,Sri Aman,,,,
Ranggu,0,104.0,104.0,Ranggu,Ranggu,Tawau,,,,
Kota Kemajuan,0,24.0,24.0,Kota Kemajuan,Kota Kemajuan,"Johor Bahru, Kota Tinggi",,2.0,,
Jalan Western,0,82.0,82.0,Jalan Western,Jalan Western,"Sepang, Petaling",active,,,
Jalan Sulaiman,0,15.0,15.0,Jalan Sulaiman,Jalan Sulaiman,"Kepong, Titiwangsa, Lembah Pantai, Gombak, Petaling",,,,
Jalan SC Satu,0,7.0,7.0,Jalan SC Satu,Jalan SC Satu,Hulu Langat,,,,
Jalan Pinang Raja,0,38.0,38.0,Jalan Pinang Raja,Jalan Pinang Raja,"Petaling, Klang",,,,
Jalan Merak,0,9.0,9.0,Jalan Merak,Jalan Merak,Kulai,,,,
Fasa Dua Semarak,0,8.0,8.0,Fasa Dua Semarak,Fasa Dua Semarak,Tawau,,,,
Batu Enam Setengah,0,57.0,57.0,Batu Enam Setengah,Batu Enam Setengah,Seremban,,,,
Seksyen 16,0,18.0,18.0,Seksyen 16,Seksyen 16,"Hulu Langat, Sepang",,,,
Jalan Azlan,0,12.0,12.0,Jalan Azlan,Jalan Azlan,"Kepong, Titiwangsa",,,,
Patek,0,83.0,83.0,Patek,Patek,"Kota Bharu, Machang",,,,
Pagar Bukit Chagar,0,119.0,119.0,Pagar Bukit Chagar,Pagar Bukit Chagar,Johor Bahru,,,,
Ladang Sungai Pelek,0,39.0,39.0,Ladang Sungai Pelek,Ladang Sungai Pelek,Sepang,,,,
Inanam Taipan,0,9.0,9.0,Inanam Taipan,Inanam Taipan,"Kota Kinabalu, Tuaran, Penampang",,,,
Jalan Kastam Baru,0,21.0,21.0,Jalan Kastam Baru,Jalan Kastam Baru,,,,,
Jalan Kong Kong,0,51.0,51.0,Jalan Kong Kong,Jalan Kong Kong,Johor Bahru,,,,
Tapak Bina Bulatan Pandan,0,14.0,14.0,Tapak Bina Bulatan Pandan,Tapak Bina Bulatan Pandan,Titiwangsa,,,,
Jalan Putra Square,0,71.0,71.0,Jalan Putra Square,Jalan Putra Square,Kuantan,,,,
Jalan Gridbid,0,56.0,56.0,Jalan Gridbid,Jalan Gridbid,"Miri, Beluru",,,,
Kampung Baru Hilir,0,115.0,115.0,Kampung Baru Hilir,Kampung Baru Hilir,"Samarahan, Tebedu, Kuching",,,,
Jalan Tanjung Kidurong,0,58.0,58.0,Jalan Tanjung Kidurong,Jalan Tanjung Kidurong,Bintulu,,,,
Gong Kulim,0,29.0,29.0,Gong Kulim,Gong Kulim,Pasir Puteh,,,,
Tapak Bina Sungai Emas,0,86.0,86.0,Tapak Bina Sungai Emas,Tapak Bina Sungai Emas,Kuala Langat,,,,
Tapak Bina Jalan Atmosphere,0,22.0,22.0,Tapak Bina Jalan Atmosphere,Tapak Bina Jalan Atmosphere,Petaling,,,,
Taman Brick,0,38.0,38.0,Taman Brick,Taman Brick,"Johor Bahru, Pontian",,,,
Sawit Sebrang,0,23.0,23.0,Sawit Sebrang,Sawit Sebrang,Lahad Datu,,1.0,,
Persiaran Cassia Selatan,0,212.0,212.0,Persiaran Cassia Selatan,Persiaran Cassia Selatan,"Seberang Perai Selatan, Kerian, Larut, Matang dan Selama",active,,,
Pengkalan Nangka Tumpat,0,21.0,21.0,Pengkalan Nangka Tumpat,Pengkalan Nangka Tumpat,Tumpat,,,,
Paya Bemban,0,35.0,35.0,Paya Bemban,Paya Bemban,"Kota Bharu, Tumpat, Bachok",,,,
Lorong Desa Senadin,0,49.0,49.0,Lorong Desa Senadin,Lorong Desa Senadin,"Miri, Mukah",,,,
Lebuhraya Kampung Jawa,0,247.0,247.0,Lebuhraya Kampung Jawa,Lebuhraya Kampung Jawa,"Timur Laut, Barat Daya, Seberang Perai Tengah, Seberang Perai Utara, Seberang Perai Selatan",,,,
Kolam Lintas,0,28.0,28.0,Kolam Lintas,Kolam Lintas,"Penampang, Putatan",active,,,
Jalan Sungai Chat,0,35.0,35.0,Jalan Sungai Chat,Jalan Sungai Chat,Johor Bahru,,1.0,,
Jalan Gemilang Sukan,0,38.0,38.0,Jalan Gemilang Sukan,Jalan Gemilang Sukan,Johor Bahru,,,,
Batu Gong,0,109.0,109.0,Batu Gong,Batu Gong,Serian,,,,
Tenegang,0,43.0,43.0,Tenegang,Tenegang,Kinabatangan,,,,
Siasai Tamu,0,11.0,11.0,Siasai Tamu,Siasai Tamu,Kota Belud,,,,
Putra Satu,0,9.0,9.0,Putra Satu,Putra Satu,"Putrajaya, Sepang, Seremban",,,,
Perusahaan LPK,0,88.0,88.0,Perusahaan LPK,Perusahaan LPK,Kuala Muda,,,,
Persiaran Maktab,0,25.0,25.0,Persiaran Maktab,Persiaran Maktab,"Klang, Hulu Langat, Gombak",,,,
Paloh Rambai,0,127.0,127.0,Paloh Rambai,Paloh Rambai,"Kota Bharu, Bachok",,,,
Merinding,0,7.0,7.0,Merinding,Merinding,Labuan,,,,
Bandar Sri,0,19.0,19.0,Bandar Sri,Bandar Sri,"Cheras, Hulu Langat, Petaling",,,,
Tapak Bina Jalan Usahawan,0,84.0,84.0,Tapak Bina Jalan Usahawan,Tapak Bina Jalan Usahawan,Titiwangsa,,,,
Jalan Wawasan Dua,0,30.0,30.0,Jalan Wawasan Dua,Jalan Wawasan Dua,Batu Pahat,,,,
Jalan Alam,0,20.0,20.0,Jalan Alam,Jalan Alam,"Kuala Langat, Klang, Petaling",,,,
Industri Permata Dua,0,70.0,70.0,Industri Permata Dua,Industri Permata Dua,Seremban,,,,
Chupak,0,125.0,125.0,Chupak,Chupak,"Serian, Samarahan",,,,
Teknologi Bukit Minyak,0,323.0,323.0,Teknologi Bukit Minyak,Teknologi Bukit Minyak,"Seberang Perai Utara, Seberang Perai Tengah, Seberang Perai Selatan dan Barat Daya",,,,
Jalan Indah Gemilang Satu,0,85.0,85.0,Jalan Indah Gemilang Satu,Jalan Indah Gemilang Satu,Johor Bahru,,,,
Balakong Jaya Dua,0,48.0,48.0,Balakong Jaya Dua,Balakong Jaya Dua,"Hulu Langat, Kuala Selangor",,,,
Taman Tunku,0,7.0,7.0,Taman Tunku,Taman Tunku,"Kepong, Titiwangsa",,,,
Rajang,0,40.0,40.0,Rajang,Rajang,"Sarikei, Tanjung Manis, Kuching",,1.0,,
Jalan Tenteram,0,18.0,18.0,Jalan Tenteram,Jalan Tenteram,Johor Bahru,,,,
Jalan Kemajuan,0,25.0,25.0,Jalan Kemajuan,Jalan Kemajuan,Labuan,,,,
Jalan Helang,0,13.0,13.0,Jalan Helang,Jalan Helang,Kuala Langat,,,,
Jalan Gambang,0,100.0,100.0,Jalan Gambang,Jalan Gambang,Kuantan,active,,,
Jalan Belimbing,0,12.0,12.0,Jalan Belimbing,Jalan Belimbing,Kulai,,,,
Industri Permata,0,32.0,32.0,Industri Permata,Industri Permata,Seremban,,,,
Batu 22,0,90.0,90.0,Batu 22,Batu 22,Kulai,,,,
Tapak Bina Jalan You City,0,57.0,57.0,Tapak Bina Jalan You City,Tapak Bina Jalan You City,Hulu Langat,,,,
Jalan Permas Baru,0,12.0,12.0,Jalan Permas Baru,Jalan Permas Baru,Johor Bahru,,,,
Tapak Bina Persiaran Cybersouth,0,604.0,604.0,Tapak Bina Persiaran Cybersouth,Tapak Bina Persiaran Cybersouth,Sepang,active,,,
Jalan Gemilang Tiga,0,67.0,67.0,Jalan Gemilang Tiga,Jalan Gemilang Tiga,Johor Bahru,,,,
D Gana,0,20.0,20.0,D Gana,D Gana,Keningau,,,,
Bukit Tambun,0,16.0,16.0,Bukit Tambun,Bukit Tambun,Seberang Perai Selatan,active,,,
Teluk Air Tawar,0,36.0,36.0,Teluk Air Tawar,Teluk Air Tawar,"Seberang Perai Utara, Seberang Perai Tengah",,,,
Tanjung Genting,0,123.0,123.0,Tanjung Genting,Tanjung Genting,Meradong,,,,
Pulau Pisang,0,15.0,15.0,Pulau Pisang,Pulau Pisang,Perak Tengah,,,,
Perindustrian Pekan Nanas,0,70.0,70.0,Perindustrian Pekan Nanas,Perindustrian Pekan Nanas,Pontian,,,,
Sungai Berumbung,0,17.0,17.0,Sungai Berumbung,Sungai Berumbung,Kluang,,,,
Persiaran Hemisfera,0,13.0,13.0,Persiaran Hemisfera,Persiaran Hemisfera,"Petaling, Klang",,,,
Lorong Usaha Utama,0,7.0,7.0,Lorong Usaha Utama,Lorong Usaha Utama,"Johor Bahru, Kulai",,,,
Lorong Nibong,0,34.0,34.0,Lorong Nibong,Lorong Nibong,"Titiwangsa, Cheras",,,,
Jalan Industri Sofa,0,57.0,57.0,Jalan Industri Sofa,Jalan Industri Sofa,Tangkak,,,,
Jalan Daun,0,8.0,8.0,Jalan Daun,Jalan Daun,"Kepong, Gombak, Petaling",,,,
Jalan Dahlia 22,0,24.0,24.0,Jalan Dahlia 22,Jalan Dahlia 22,Johor Bahru,,,,
Jalan Besar Kepong,0,17.0,17.0,Jalan Besar Kepong,Jalan Besar Kepong,Kepong,,,,
DTI Juru,0,463.0,463.0,DTI Juru,DTI Juru,Seberang Perai Tengah,,,,
DTI Jalan Duta,0,77.0,77.0,DTI Jalan Duta,DTI Jalan Duta,Kepong,,,,
Bandar Baru,0,94.0,94.0,Bandar Baru,Bandar Baru,"Petaling, Hulu Selangor",active,,,
Jalan Tun Mutalib Tiga,0,30.0,30.0,Jalan Tun Mutalib Tiga,Jalan Tun Mutalib Tiga,Kota Tinggi,,,,
Tapak Bina Persiaran Sunsuria,0,122.0,122.0,Tapak Bina Persiaran Sunsuria,Tapak Bina Persiaran Sunsuria,Sepang,,,,
Tapak Bina Persiaran Setia,0,19.0,19.0,Tapak Bina Persiaran Setia,Tapak Bina Persiaran Setia,Petaling,,,,
Sungai Atap,0,23.0,23.0,Sungai Atap,Sungai Atap,Meradong,,,,
Melamam,0,21.0,21.0,Melamam,Melamam,Sipitang,,,,
Kampung Padang Tembak,0,21.0,21.0,Kampung Padang Tembak,Kampung Padang Tembak,Keningau,,,,
Jalan Wawasan Sembilan,0,59.0,59.0,Jalan Wawasan Sembilan,Jalan Wawasan Sembilan,"Batu Pahat, Kluang",,,,
Jalan Asuhan,0,16.0,16.0,Jalan Asuhan,Jalan Asuhan,Kerian,,,,
Depot Imigresen Semuja,0,447.0,447.0,Depot Imigresen Semuja,Depot Imigresen Semuja,Serian,,,,
Bunga Tanjung Bendahara,0,98.0,98.0,Bunga Tanjung Bendahara,Bunga Tanjung Bendahara,"Kota Setar, Kuala Muda",,1.0,,
Tembok Muhasabah,0,107.0,107.0,Tembok Muhasabah,Tembok Muhasabah,Jelebu,,,,
Taman Ria Enam,0,28.0,28.0,Taman Ria Enam,Taman Ria Enam,Tawau,,,,
Subang Dua,0,398.0,398.0,Subang Dua,Subang Dua,Petaling,,,,
Meranti Jaya,0,46.0,46.0,Meranti Jaya,Meranti Jaya,Sepang,,,,
Kayu Gading,0,51.0,51.0,Kayu Gading,Kayu Gading,Batu Pahat,,,,
Jalan Perdana,0,38.0,38.0,Jalan Perdana,Jalan Perdana,"Seremban, Rembau",,,,
Jalan Merpati,0,133.0,133.0,Jalan Merpati,Jalan Merpati,Miri,,,,
Jalan Long Yunus,0,44.0,44.0,Jalan Long Yunus,Jalan Long Yunus,"Pasir Puteh, Bachok, Kota Bharu",,,,
Jalan Lada Sulah,0,18.0,18.0,Jalan Lada Sulah,Jalan Lada Sulah,"Petaling, Klang",,,,
Jalan Hang Tuah,0,36.0,36.0,Jalan Hang Tuah,Jalan Hang Tuah,Johor Bahru,,,,
Banggol Lepah,0,143.0,143.0,Banggol Lepah,Banggol Lepah,"Bachok, Kuala Krai, Tanah Merah, Pasir Puteh, Kota Bharu",,,,
Andromeda,0,11.0,11.0,Andromeda,Andromeda,Muar,,,,
Nanga Bulo,0,40.0,40.0,Nanga Bulo,Nanga Bulo,Julau,,,,
Jalan Taiping,0,8.0,8.0,Jalan Taiping,Jalan Taiping,"Titiwangsa, Cheras, Kepong",,,,
Jalan Sanyan,0,147.0,147.0,Jalan Sanyan,Jalan Sanyan,Sibu,,,,
Jalan Kampung Hilir,0,62.0,62.0,Jalan Kampung Hilir,Jalan Kampung Hilir,Sibu,,,,
Banggol Chicha,0,34.0,34.0,Banggol Chicha,Banggol Chicha,"Pasir Mas, Tumpat, Kota Bharu",,,,
Perusahaan Amari,0,8.0,8.0,Perusahaan Amari,Perusahaan Amari,Gombak,,,,
Sungai Puloh,0,27.0,27.0,Sungai Puloh,Sungai Puloh,Klang,,,,
Jalan Mega Lima,0,32.0,32.0,Jalan Mega Lima,Jalan Mega Lima,Johor Bahru,,,,
Batu Tiga Lama,0,20.0,20.0,Batu Tiga Lama,Batu Tiga Lama,"Petaling, Kuala Selangor",,,,
Jalan Delima,0,34.0,34.0,Jalan Delima,Jalan Delima,Johor Bahru,,,,
Batu 19,0,23.0,23.0,Batu 19,Batu 19,"Kulai, Johor Bahru",,,,
Jalan Tanjung,0,70.0,70.0,Jalan Tanjung,Jalan Tanjung,Bintulu,,,,
Industri Gunung Mas,0,72.0,72.0,Industri Gunung Mas,Industri Gunung Mas,"Tampin, Kuala Pilah",,,,
Jalan Lapan Belas,0,12.0,12.0,Jalan Lapan Belas,Jalan Lapan Belas,Cheras,,,,
Chendering Height,0,39.0,39.0,Chendering Height,Chendering Height,"Marang, Kuala Nerus",,,,
Jalan Sekerat,0,18.0,18.0,Jalan Sekerat,Jalan Sekerat,"Kuala Muda, Kulim",,,,
Tapak Bina Meha,0,21.0,21.0,Tapak Bina Meha,Tapak Bina Meha,Kulim,,,,
Kampung Air Batang,0,190.0,190.0,Kampung Air Batang,Kampung Air Batang,Rompin,active,,,
Jalan Sutera,0,11.0,11.0,Jalan Sutera,Jalan Sutera,Hulu Langat,,,,
Begalak,0,72.0,72.0,Begalak,Begalak,"Sibu, Song",,,,
Teknologi Tenggara,0,13.0,13.0,Teknologi Tenggara,Teknologi Tenggara,Batu Pahat,,,,
Jalan Mega Cemerlang,0,19.0,19.0,Jalan Mega Cemerlang,Jalan Mega Cemerlang,Johor Bahru,,,,
Jalan Pria,0,10.0,10.0,Jalan Pria,Jalan Pria,"Titiwangsa, Cheras",,,,
Sena,0,86.0,86.0,Sena,Sena,"Miri, Subis",,,,
Lintang Bayan Lepas,0,176.0,176.0,Lintang Bayan Lepas,Lintang Bayan Lepas,"Timur Laut, Barat Daya, Seberang Perai Utara, Seberang Perai Selatan",,,,
Ladang Bukit,0,142.0,142.0,Ladang Bukit,Ladang Bukit,"Marang, Dungun, Kuala Terengganu, Kemaman",,,,
Jalan Tempua,0,7.0,7.0,Jalan Tempua,Jalan Tempua,Hulu Selangor,,,,
Jalan Pelepas Dua,0,12.0,12.0,Jalan Pelepas Dua,Jalan Pelepas Dua,Johor Bahru,,,,
Jalan Main Bazaar,0,15.0,15.0,Jalan Main Bazaar,Jalan Main Bazaar,Sri Aman,,,,
Jalan Laksamana,0,34.0,34.0,Jalan Laksamana,Jalan Laksamana,"Manjung, Kuala Kangsar, Lembah Pantai, Kepong, Kota Belud, Bachok, Kuala Nerus, Timur Laut",,,,
Jalan Kunci Air,0,23.0,23.0,Jalan Kunci Air,Jalan Kunci Air,"Gombak, Hulu Selangor",,,,
Jalan Industri Dua,0,23.0,23.0,Jalan Industri Dua,Jalan Industri Dua,Gombak,,,,
Buloh Pasi,0,22.0,22.0,Buloh Pasi,Buloh Pasi,Meradong,,,,
Tapak Bina Jalan Kenangan,0,41.0,41.0,Tapak Bina Jalan Kenangan,Tapak Bina Jalan Kenangan,Klang,,,,
Jalan Masyhur Enam,0,58.0,58.0,Jalan Masyhur Enam,Jalan Masyhur Enam,Johor Bahru,,,,
DTI Machap Umboo,0,85.0,85.0,DTI Machap Umboo,DTI Machap Umboo,Alor Gajah,,,,detention centre 
Jambatan Satu Bombalai,0,16.0,16.0,Jambatan Satu Bombalai,Jambatan Satu Bombalai,Kalabakan,,,,
Sungai Puteh,0,34.0,34.0,Sungai Puteh,Sungai Puteh,Hulu Langat,,,,
Dagang Permai,0,49.0,49.0,Dagang Permai,Dagang Permai,Hulu Langat,,,,
Parit Penyengat Darat,0,129.0,129.0,Parit Penyengat Darat,Parit Penyengat Darat,Muar,,,,
Pona,0,8.0,8.0,Pona,Pona,Johor Bahru,,,,
Melor,0,15.0,15.0,Melor,Melor,Pusa,,,,
Kampung Nyatoh,0,90.0,90.0,Kampung Nyatoh,Kampung Nyatoh,"Seremban, Gombak",,,,
Jalan Nusa Mega,0,79.0,79.0,Jalan Nusa Mega,Jalan Nusa Mega,Johor Bahru,,,,
Jalan Industri A1,0,21.0,21.0,Jalan Industri A1,Jalan Industri A1,Tangkak,,,,
Tapak Bina Jalan U-Thant,0,46.0,46.0,Tapak Bina Jalan U-Thant,Tapak Bina Jalan U-Thant,Titiwangsa,,,,
Tapak Bina Jalan Salak,0,158.0,158.0,Tapak Bina Jalan Salak,Tapak Bina Jalan Salak,Lembah Pantai,,1.0,,
Lorong Kilang,0,42.0,42.0,Lorong Kilang,Lorong Kilang,"Petaling, Klang",,,,
Medan Bayan Lepas,0,205.0,205.0,Medan Bayan Lepas,Medan Bayan Lepas,"Barat Daya, Timur Laut, Seberang Perai Utara, Seberang Perai Tengah, Seberang Perai Selatan",,,,
Sungai Lembing,0,14.0,14.0,Sungai Lembing,Sungai Lembing,Kuantan,,,,
Jalan Setia Jaya,0,181.0,181.0,Jalan Setia Jaya,Jalan Setia Jaya,Batu Pahat,,,,
Amanjaya,0,16.0,16.0,Amanjaya,Amanjaya,"Kuala Muda, Pendang, Yan",,,,
Cyber 72,0,29.0,29.0,Cyber 72,Cyber 72,Kulai,,,,
Jalan i-Park Tiga,0,9.0,9.0,Jalan i-Park Tiga,Jalan i-Park Tiga,Kulai,,,,
Jalan Loke Yew,0,14.0,14.0,Jalan Loke Yew,Jalan Loke Yew,Cheras,,,,
Bukit Bayas,0,53.0,53.0,Bukit Bayas,Bukit Bayas,Kuala Terengganu,,,,
Kemuning Enam,0,116.0,116.0,Kemuning Enam,Kemuning Enam,Klang,,,,
Jalan Sungai,0,7.0,7.0,Jalan Sungai,Jalan Sungai,Hulu Langat,,,,
Industri Inanam,0,33.0,33.0,Industri Inanam,Industri Inanam,Kota Kinabalu,,,,
Jalan Industri Tiga Pontian,0,36.0,36.0,Jalan Industri Tiga Pontian,Jalan Industri Tiga Pontian,Pontian,,,,
Tapak Bina Jalan Satu,0,113.0,113.0,Tapak Bina Jalan Satu,Tapak Bina Jalan Satu,Lembah Pantai,,,,
Jalan Awang,0,60.0,60.0,Jalan Awang,Jalan Awang,Sibu,,,,
DTI Persiaran Wawasan,0,90.0,90.0,DTI Persiaran Wawasan,DTI Persiaran Wawasan,Kangar,,,,
Kiba,0,40.0,40.0,Kiba,Kiba,Sibu,,,,
Lagoon Selatan,0,12.0,12.0,Lagoon Selatan,Lagoon Selatan,Petaling,,,,
Jalan Firma Dua,0,79.0,79.0,Jalan Firma Dua,Jalan Firma Dua,Johor Bahru,,,,
Jalan Haji Malek,0,12.0,12.0,Jalan Haji Malek,Jalan Haji Malek,Jasin,,,,
Bukit Tunggal,0,49.0,49.0,Bukit Tunggal,Bukit Tunggal,Julau,,,,
Tapak Bina Jalan Zamrud,0,247.0,247.0,Tapak Bina Jalan Zamrud,Tapak Bina Jalan Zamrud,Hulu Langat,,,,
Jalan Dato Sellathevan,0,24.0,24.0,Jalan Dato Sellathevan,Jalan Dato Sellathevan,Klang,,,,
Industri Cheras Jaya,0,20.0,20.0,Industri Cheras Jaya,Industri Cheras Jaya,Hulu Langat,,,,
Meranti Utama,0,15.0,15.0,Meranti Utama,Meranti Utama,Sepang,,,,
Perusahaan 10,0,177.0,177.0,Perusahaan 10,Perusahaan 10,"Seberang Perai Utara, Seberang Perai Tengah",,,,
Jalan Senu,0,19.0,19.0,Jalan Senu,Jalan Senu,"Larut, Matang, Selama",,,,
Jalan Mutiara Barat,0,20.0,20.0,Jalan Mutiara Barat,Jalan Mutiara Barat,"Cheras, Petaling, Hulu Langat",,,,
Persiaran Alam,0,17.0,17.0,Persiaran Alam,Persiaran Alam,Cheras,,,,
Kuala Punteh,0,38.0,38.0,Kuala Punteh,Kuala Punteh,Keningau,,,,
Industri Subang,0,305.0,305.0,Industri Subang,Industri Subang,"Petaling, Klang, Kuala Selangor",,,,
Lagenda Suria,0,42.0,42.0,Lagenda Suria,Lagenda Suria,Hulu Langat,,,,
Jalan Bukit Tiga,0,86.0,86.0,Jalan Bukit Tiga,Jalan Bukit Tiga,Hulu Langat,,,,
Jasmine Empat,0,57.0,57.0,Jasmine Empat,Jasmine Empat,Hulu Selangor,,,,
Jalan Damansara,0,11.0,11.0,Jalan Damansara,Jalan Damansara,Petaling,,,,
Tapak Bina Queens Waterfront,0,251.0,251.0,Tapak Bina Queens Waterfront,Tapak Bina Queens Waterfront,"Barat Daya, Timur Laut",,,,
Jalan Distripark B6,0,30.0,30.0,Jalan Distripark B6,Jalan Distripark B6,Johor Bahru,,,,
Batu 21,0,15.0,15.0,Batu 21,Batu 21,"Kulai, Johor Bahru",,,,
Persiaran Kempas Baru,0,27.0,27.0,Persiaran Kempas Baru,Persiaran Kempas Baru,Johor Bahru,,,,
Jalan Kabel Gemilang,0,15.0,15.0,Jalan Kabel Gemilang,Jalan Kabel Gemilang,Johor Bahru,,,,
Jalan Maju Satu,0,17.0,17.0,Jalan Maju Satu,Jalan Maju Satu,Johor Bahru,,,,
Jalan Limau Manis,0,24.0,24.0,Jalan Limau Manis,Jalan Limau Manis,"Kluang, Johor Bahru",,,,
Jalan Kebun Nenas,0,141.0,141.0,Jalan Kebun Nenas,Jalan Kebun Nenas,"Seberang Perai Tengah, Seberang Perai Selatan",,,,
Tapak Bina Nilam Sari,0,31.0,31.0,Tapak Bina Nilam Sari,Tapak Bina Nilam Sari,Seremban,,,,
Tapak Bina Jalan MP,0,33.0,33.0,Tapak Bina Jalan MP,Tapak Bina Jalan MP,Petaling,,,,
Balakong Satu,0,16.0,16.0,Balakong Satu,Balakong Satu,Hulu Langat,,,,
Jalan Utarid,0,16.0,16.0,Jalan Utarid,Jalan Utarid,"Kuala Langat, Petaling",,,,
Jalan DPB Lima,0,32.0,32.0,Jalan DPB Lima,Jalan DPB Lima,Johor Bahru,,,,
Sementa 27,0,27.0,27.0,Sementa 27,Sementa 27,"Petaling, Klang, Kuala Selangor, Kuala Langat",,,,
Jalan Perubatan,0,13.0,13.0,Jalan Perubatan,Jalan Perubatan,Hulu Langat,,,,
Jalan Bachok,0,34.0,34.0,Jalan Bachok,Jalan Bachok,"Bachok, Pasir Puteh",,,,
Jalan PKNK 1/6,0,43.0,43.0,Jalan PKNK 1/6,Jalan PKNK 1/6,Kuala Muda,,,,
Sri Jelutung,0,34.0,34.0,Sri Jelutung,Sri Jelutung,Pekang,,,,
Jalan Sikamat Lama,0,53.0,53.0,Jalan Sikamat Lama,Jalan Sikamat Lama,Seremban,,,,
Kampung Gedang,0,37.0,37.0,Kampung Gedang,Kampung Gedang,"Alor Gajah, Melaka Tengah",,,,
Jalan Anak Gasing,0,47.0,47.0,Jalan Anak Gasing,Jalan Anak Gasing,Petaling,,1.0,,
Taman Alam,0,55.0,55.0,Taman Alam,Taman Alam,Petaling,,,,
Jalan Mawar,0,13.0,13.0,Jalan Mawar,Jalan Mawar,Hulu Langat,,,,
Jalan DPB Enam,0,47.0,47.0,Jalan DPB Enam,Jalan DPB Enam,Johor Bahru,,,,
Jalan Cyber Satu,0,19.0,19.0,Jalan Cyber Satu,Jalan Cyber Satu,"Kulai, Kota Tinggi",,,,
Persiaran Bayan Indah,0,40.0,40.0,Persiaran Bayan Indah,Persiaran Bayan Indah,"Barat Daya, Timur Laut, Seberang Perai Utara, Seberang Perai Tengah",,,,
Jalan Bukit Blossoms,0,33.0,33.0,Jalan Bukit Blossoms,Jalan Bukit Blossoms,Seremban,,,,
Desa Empat,0,18.0,18.0,Desa Empat,Desa Empat,Kuala Selangor,active,,,
Jalan Melati,0,8.0,8.0,Jalan Melati,Jalan Melati,Gombak,,,,
Jalan Kempas Tiga,0,350.0,350.0,Jalan Kempas Tiga,Jalan Kempas Tiga,Muar,,,,
Kampung Sungai Burung,0,53.0,53.0,Kampung Sungai Burung,Kampung Sungai Burung,Pontian,,,,
Jalan Wawasan 12,0,36.0,36.0,Jalan Wawasan 12,Jalan Wawasan 12,Batu Pahat,,,,
Jalan Cempedak,0,11.0,11.0,Jalan Cempedak,Jalan Cempedak,Kepong,,,,
Bukit Marak,0,109.0,109.0,Bukit Marak,Bukit Marak,"Kota Bharu, Bachok",,,,
Jalan Timah Tiga,0,42.0,42.0,Jalan Timah Tiga,Jalan Timah Tiga,Johor Bahru,,,,
Jalan Tanjung Empat,0,29.0,29.0,Jalan Tanjung Empat,Jalan Tanjung Empat,Johor Bahru,,,,
Jalan Desa Tropika,0,10.0,10.0,Jalan Desa Tropika,Jalan Desa Tropika,Johor Bahru,,,,
Batu Empat,0,595.0,595.0,Batu Empat,Batu Empat,Batu Pahat,,,,
Perusahaan Jalan Bukit,0,314.0,314.0,Perusahaan Jalan Bukit,Perusahaan Jalan Bukit,Hulu Langat,,,,
Industri Waja,0,86.0,86.0,Industri Waja,Industri Waja,Kuala Langat,,,,
Jalan Selisik,0,17.0,17.0,Jalan Selisik,Jalan Selisik,"Petaling, Kuala Selangor",,,,
Tapak Bina Bukit Kiara,0,204.0,204.0,Tapak Bina Bukit Kiara,Tapak Bina Bukit Kiara,Kepong,,,,
Jalan Sungai Baong,0,56.0,56.0,Jalan Sungai Baong,Jalan Sungai Baong,Seberang Perai Selatan,,,,
Jalan Tampoi Besi,0,61.0,61.0,Jalan Tampoi Besi,Jalan Tampoi Besi,Johor Bahru,,,,
Jalan Permas Sembilan,0,22.0,22.0,Jalan Permas Sembilan,Jalan Permas Sembilan,Johor Bahru,,,,
Jalan Gemilang Satu,0,18.0,18.0,Jalan Gemilang Satu,Jalan Gemilang Satu,Johor Bahru,,,,
Jalan Mega Teknologi,0,15.0,15.0,Jalan Mega Teknologi,Jalan Mega Teknologi,Johor Bahru,,,,
Jalan Scientex Jaya,0,13.0,13.0,Jalan Scientex Jaya,Jalan Scientex Jaya,Kulai,,,,
Jalan Tasek Avenue,0,405.0,405.0,Jalan Tasek Avenue,Jalan Tasek Avenue,Kinta,,,,
Kampung Pulau Raja,0,60.0,60.0,Kampung Pulau Raja,Kampung Pulau Raja,Kota Bharu,,,,
Buloh,0,37.0,37.0,Buloh,Buloh,Selangau,,1.0,,
